model,dataset,max_tokens,file_type,source_file,missing_text_rows,n_rows,tokens_sum,tokens_mean,tokens_median,tokens_p95,tokens_min,tokens_max
DeepSeek-R1-0528-Qwen3-8B,aqua,256,hints,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max256/hints.jsonl,0,7,1795.0,256.42857142857144,256.0,258.1,256.0,259.0
DeepSeek-R1-0528-Qwen3-8B,aqua,256,initial,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max256/initial_inference.jsonl,0,254,81895.0,322.4212598425197,256.0,663.0999999999999,254.0,770.0
DeepSeek-R1-0528-Qwen3-8B,aqua,256,post_hint,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max256/post_hint_inference.jsonl,0,7,2954.0,422.0,363.0,676.0,256.0,688.0
DeepSeek-R1-0528-Qwen3-8B,aqua,512,hints,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max512/hints.jsonl,0,4,660.0,165.0,62.0,457.49999999999983,14.0,522.0
DeepSeek-R1-0528-Qwen3-8B,aqua,512,initial,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max512/initial_inference.jsonl,0,254,165113.0,650.0511811023622,512.0,1311.05,251.0,1525.0
DeepSeek-R1-0528-Qwen3-8B,aqua,512,post_hint,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max512/post_hint_inference.jsonl,0,4,2502.0,625.5,589.5,789.4,512.0,811.0
DeepSeek-R1-0528-Qwen3-8B,aqua,1024,hints,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max1024/hints.jsonl,0,14,6420.0,458.57142857142856,49.0,1043.75,1.0,1047.0
DeepSeek-R1-0528-Qwen3-8B,aqua,1024,initial,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max1024/initial_inference.jsonl,0,254,295163.0,1162.0590551181103,1024.0,2467.0,244.0,3041.0
DeepSeek-R1-0528-Qwen3-8B,aqua,1024,post_hint,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max1024/post_hint_inference.jsonl,0,14,16348.0,1167.7142857142858,1024.0,2118.5499999999997,551.0,2491.0
DeepSeek-R1-0528-Qwen3-8B,aqua,1536,hints,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max1536/hints.jsonl,0,7,1741.0,248.71428571428572,36.0,1108.199999999999,1.0,1554.0
DeepSeek-R1-0528-Qwen3-8B,aqua,1536,initial,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max1536/initial_inference.jsonl,0,254,410726.0,1617.0314960629921,1536.0,3713.45,237.0,4610.0
