model,model_category,dataset,max_tokens,n_questions,initial_accuracy,post_hint_accuracy,n_incorrect_initial,n_corrected,correction_rate,delta_accuracy,initial_tokens_mean,hint_tokens_mean,post_hint_tokens_mean
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,254,0.6456692913385826,0.6732283464566929,90,7,0.07777777777777778,0.0275590551181103,1164.1259842519685,1648.5,1169.7857142857142
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1536,254,0.7244094488188977,0.7322834645669292,70,2,0.02857142857142857,0.007874015748031482,1619.1968503937007,2463.0,2066.5714285714284
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max2048,254,0.7992125984251969,0.8031496062992126,51,1,0.0196078431372549,0.003937007874015741,1949.7992125984251,2685.0,1369.1666666666667
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max256,254,0.2637795275590551,0.2795275590551181,187,4,0.0213903743315508,0.01574803149606302,323.9685039370079,528.1428571428571,423.85714285714283
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max512,254,0.49606299212598426,0.49606299212598426,128,0,0.0,0.0,651.8897637795276,913.25,627.0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,230,0.1956521739130435,0.26521739130434785,185,16,0.08648648648648649,0.06956521739130436,1335.1565217391305,1742.578947368421,1283.0701754385964
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,230,0.2565217391304348,0.3695652173913043,171,26,0.15204678362573099,0.11304347826086952,1963.4434782608696,2224.222222222222,2061.1428571428573
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,230,0.34347826086956523,0.46956521739130436,151,29,0.19205298013245034,0.12608695652173912,2776.9478260869564,3029.0140845070423,2951.5352112676055
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,230,0.034782608695652174,0.05652173913043478,222,5,0.02252252252252252,0.021739130434782608,299.31304347826085,455.64102564102564,292.38461538461536
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max512,230,0.09130434782608696,0.13043478260869565,209,9,0.0430622009569378,0.03913043478260869,618.6521739130435,830.452380952381,680.8571428571429
DeepSeek-R1-0528-Qwen3-8B,Reasoning,asdiv,max1024,2023,0.8536826495304004,0.9322787938704894,296,159,0.5371621621621622,0.07859614434008899,835.0242214532872,1207.549107142857,951.3973214285714
DeepSeek-R1-0528-Qwen3-8B,Reasoning,asdiv,max1536,2023,0.8897676717745922,0.9574888779041029,223,137,0.6143497757847534,0.06772120612951071,1029.3722194760257,1854.421052631579,1245.3105263157895
DeepSeek-R1-0528-Qwen3-8B,Reasoning,asdiv,max256,2023,0.67622343054869,0.7024221453287197,655,53,0.08091603053435115,0.026198714780029664,391.6762234305487,421.8958333333333,306.7291666666667
DeepSeek-R1-0528-Qwen3-8B,Reasoning,asdiv,max512,2023,0.8403361344537815,0.8838358872960949,323,88,0.2724458204334365,0.04349975284231333,578.1967375185368,722.2176870748299,583.9319727891157
DeepSeek-R1-0528-Qwen3-8B,Reasoning,gsm8k,max1024,1319,0.8430629264594389,0.8862774829416225,207,57,0.2753623188405797,0.04321455648218353,888.5360121304018,1360.0650406504064,1142.0894308943089
DeepSeek-R1-0528-Qwen3-8B,Reasoning,gsm8k,max1536,1319,0.8627748294162244,0.9181197877179682,181,73,0.40331491712707185,0.055344958301743796,1137.325246398787,1975.9772727272727,1419.8939393939395
DeepSeek-R1-0528-Qwen3-8B,Reasoning,gsm8k,max2048,1319,0.8764215314632298,0.9302501895375285,163,71,0.43558282208588955,0.05382865807429871,1297.4867323730098,2665.9242424242425,1717.7045454545455
DeepSeek-R1-0528-Qwen3-8B,Reasoning,gsm8k,max256,1319,0.6148597422289613,0.6429112964366944,508,37,0.07283464566929133,0.028051554207733087,393.3836239575436,446.4421052631579,344.62105263157895
DeepSeek-R1-0528-Qwen3-8B,Reasoning,gsm8k,max512,1319,0.7733131159969674,0.8089461713419257,299,47,0.15719063545150502,0.03563305534495831,631.8620166793025,795.2413793103449,676.4137931034483
DeepSeek-R1-0528-Qwen3-8B,Reasoning,sports,max1024,978,0.8609406952965235,0.9447852760736196,136,82,0.6029411764705882,0.08384458077709611,804.0664621676891,1014.9185185185186,862.1925925925926
DeepSeek-R1-0528-Qwen3-8B,Reasoning,sports,max1536,978,0.8732106339468303,0.9498977505112475,124,75,0.6048387096774194,0.07668711656441718,829.3496932515337,1137.217741935484,903.6935483870968
DeepSeek-R1-0528-Qwen3-8B,Reasoning,sports,max2048,978,0.8742331288343558,0.9427402862985685,123,67,0.5447154471544715,0.06850715746421276,856.2443762781186,1285.9166666666667,932.3166666666667
DeepSeek-R1-0528-Qwen3-8B,Reasoning,sports,max256,978,0.6809815950920245,0.7198364008179959,312,38,0.12179487179487179,0.03885480572597144,454.66155419222906,550.329268292683,273.4146341463415
DeepSeek-R1-0528-Qwen3-8B,Reasoning,sports,max512,978,0.8680981595092024,0.9396728016359919,129,70,0.5426356589147286,0.07157464212678943,684.8128834355829,792.9549549549549,639.1801801801802
DeepSeek-R1-Distill-Llama-8B,Reasoning,aqua,max1024,254,0.7598425196850394,0.7952755905511811,61,9,0.14754098360655737,0.03543307086614178,699.8110236220473,903.9,592.2666666666667
DeepSeek-R1-Distill-Llama-8B,Reasoning,aqua,max1536,254,0.7992125984251969,0.8385826771653543,51,10,0.19607843137254902,0.03937007874015741,862.988188976378,1348.9705882352941,1021.6176470588235
DeepSeek-R1-Distill-Llama-8B,Reasoning,aqua,max2048,254,0.8031496062992126,0.8661417322834646,50,16,0.32,0.06299212598425197,1013.0905511811023,1984.8536585365853,1769.8536585365853
DeepSeek-R1-Distill-Llama-8B,Reasoning,aqua,max256,254,0.3858267716535433,0.39763779527559057,156,3,0.019230769230769232,0.011811023622047279,261.81889763779526,292.27272727272725,276.6363636363636
DeepSeek-R1-Distill-Llama-8B,Reasoning,aqua,max512,254,0.6692913385826772,0.6889763779527559,84,5,0.05952380952380952,0.019685039370078705,496.98425196850394,537.6842105263158,414.36842105263156
DeepSeek-R1-Distill-Llama-8B,Reasoning,ar_lsat,max1024,230,0.20434782608695654,0.22608695652173913,183,5,0.0273224043715847,0.021739130434782594,1318.2434782608696,1874.0652173913043,1373.304347826087
