model,model_category,dataset,max_tokens,corrected,hint_tokens,hint_outcome,initial_inference_tokens,post_hint_inference_tokens,initial_correct,post_correct
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,0,47,Not corrected,1753,1410,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,0,27,Not corrected,2711,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,0,34,Not corrected,1722,1161,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,0,1025,Not corrected,2049,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,1,24,Corrected,1388,553,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,1,1024,Corrected,1026,1104,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,1,51,Corrected,2051,2495,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,1,1048,Corrected,2051,1921,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,0,1043,Not corrected,1708,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,0,32,Not corrected,1135,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,1,1,Corrected,1025,562,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,1,1038,Corrected,2051,1450,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,0,1031,Not corrected,1384,617,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1024,1,1,Corrected,1025,1004,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1536,0,1555,Not corrected,2338,1612,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1536,1,15,Corrected,3075,1529,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1536,0,68,Not corrected,3012,4272,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1536,0,28,Not corrected,2407,2979,0,0
