model,dataset,max_tokes,initial_accuracy,n_incorrect_answer,n_corrected_answer,posthint_accuracy
DeepSeek-R1-Distill-Qwen-1.5B,aqua,256,0.466667,16,3,0.187500
DeepSeek-R1-Distill-Qwen-1.5B,aqua,512,0.566667,13,6,0.461538
Qwen2.5-Math-1.5B,aqua,256,0.533333,14,4,0.285714
Qwen2.5-Math-1.5B,aqua,512,0.533333,14,3,0.214286
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,256,0.133333,26,2,0.076923
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,512,0.233333,23,2,0.086957
Qwen2.5-Math-1.5B,ar_lsat,256,0.200000,24,0,0.000000
Qwen2.5-Math-1.5B,ar_lsat,512,0.200000,24,0,0.000000
DeepSeek-R1-Distill-Qwen-1.5B,sports,256,0.433333,17,5,0.294118
DeepSeek-R1-Distill-Qwen-1.5B,sports,512,0.433333,17,5,0.294118
Qwen2.5-Math-1.5B,sports,256,0.600000,12,2,0.166667
Qwen2.5-Math-1.5B,sports,512,0.600000,12,1,0.083333
