model,dataset,max_tokes,initial_accuracy,n_incorrect_answer,n_corrected_answer,posthint_accuracy
DeepSeek-R1-0528-Qwen3-8B,aqua,1024,0.645669,90,7,0.077778
DeepSeek-R1-0528-Qwen3-8B,aqua,2048,0.799213,51,1,0.019608
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,1024,0.195652,185,16,0.086486
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,2048,0.343478,151,29,0.192053
DeepSeek-R1-0528-Qwen3-8B,asdiv,1024,0.853683,296,159,0.537162
DeepSeek-R1-0528-Qwen3-8B,gsm8k,1024,0.843063,207,57,0.275362
DeepSeek-R1-0528-Qwen3-8B,gsm8k,2048,0.876422,163,71,0.435583
DeepSeek-R1-0528-Qwen3-8B,sports,1024,0.860941,136,82,0.602941
DeepSeek-R1-0528-Qwen3-8B,sports,2048,0.874233,123,67,0.544715
DeepSeek-R1-Distill-Llama-8B,aqua,1024,0.759843,61,9,0.147541
DeepSeek-R1-Distill-Llama-8B,aqua,2048,0.803150,50,16,0.320000
DeepSeek-R1-Distill-Llama-8B,ar_lsat,1024,0.204348,183,5,0.027322
DeepSeek-R1-Distill-Llama-8B,ar_lsat,2048,0.400000,138,26,0.188406
DeepSeek-R1-Distill-Llama-8B,asdiv,1024,0.910529,181,108,0.596685
DeepSeek-R1-Distill-Llama-8B,asdiv,2048,0.915472,171,102,0.596491
DeepSeek-R1-Distill-Llama-8B,gsm8k,1024,0.809704,251,143,0.569721
DeepSeek-R1-Distill-Llama-8B,gsm8k,2048,0.815011,244,131,0.536885
DeepSeek-R1-Distill-Llama-8B,sports,1024,0.827198,169,30,0.177515
DeepSeek-R1-Distill-Llama-8B,sports,2048,0.799591,196,32,0.163265
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1024,0.696850,77,20,0.259740
DeepSeek-R1-Distill-Qwen-1.5B,aqua,2048,0.728346,69,21,0.304348
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,1024,0.073913,213,10,0.046948
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,2048,0.173913,190,19,0.100000
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,1024,0.931290,139,46,0.330935
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,2048,0.931290,139,62,0.446043
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,1024,0.780136,290,99,0.341379
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,2048,0.775588,296,88,0.297297
DeepSeek-R1-Distill-Qwen-1.5B,sports,1024,0.512270,477,75,0.157233
DeepSeek-R1-Distill-Qwen-1.5B,sports,2048,0.497955,491,77,0.156823
Meta-Llama-3.1-8B-Instruct,aqua,1024,0.610236,99,30,0.303030
Meta-Llama-3.1-8B-Instruct,aqua,2048,0.629921,94,22,0.234043
Meta-Llama-3.1-8B-Instruct,ar_lsat,1024,0.230435,177,33,0.186441
Meta-Llama-3.1-8B-Instruct,ar_lsat,2048,0.239130,175,36,0.205714
Meta-Llama-3.1-8B-Instruct,asdiv,1024,0.911023,180,75,0.416667
Meta-Llama-3.1-8B-Instruct,asdiv,2048,0.914483,173,77,0.445087
Meta-Llama-3.1-8B-Instruct,gsm8k,1024,0.821835,235,93,0.395745
Meta-Llama-3.1-8B-Instruct,gsm8k,2048,0.821835,235,118,0.502128
Meta-Llama-3.1-8B-Instruct,sports,1024,0.931493,67,29,0.432836
Meta-Llama-3.1-8B-Instruct,sports,2048,0.922290,76,37,0.486842
Phi-4-mini-instruct,aqua,1024,0.704724,75,22,0.293333
Phi-4-mini-instruct,aqua,2048,0.688976,79,0,0.000000
Phi-4-mini-instruct,ar_lsat,1024,0.252174,172,38,0.220930
Phi-4-mini-instruct,asdiv,1024,0.944142,113,53,0.469027
Phi-4-mini-instruct,asdiv,2048,0.948097,105,50,0.476190
Phi-4-mini-instruct,gsm8k,1024,0.880212,158,66,0.417722
Phi-4-mini-instruct,gsm8k,2048,0.890068,145,0,0.000000
Phi-4-mini-instruct,sports,1024,0.723926,270,56,0.207407
Phi-4-mini-instruct,sports,2048,0.737219,257,54,0.210117
Phi-4-mini-reasoning,aqua,1024,0.370079,160,0,0.000000
Phi-4-mini-reasoning,asdiv,1024,0.932773,136,0,0.000000
Phi-4-mini-reasoning,asdiv,2048,0.939199,123,0,0.000000
Phi-4-mini-reasoning,gsm8k,1024,0.845337,204,0,0.000000
Phi-4-mini-reasoning,sports,1024,0.697342,296,97,0.327703
Phi-4-mini-reasoning,sports,2048,0.728016,266,0,0.000000
Qwen2.5-Math-1.5B-instruct,aqua,1024,0.763780,60,4,0.066667
Qwen2.5-Math-1.5B-instruct,aqua,2048,0.755906,62,5,0.080645
Qwen2.5-Math-1.5B-instruct,ar_lsat,1024,0.204348,183,11,0.060109
Qwen2.5-Math-1.5B-instruct,ar_lsat,2048,0.186957,187,19,0.101604
Qwen2.5-Math-1.5B-instruct,asdiv,1024,0.953040,95,9,0.094737
Qwen2.5-Math-1.5B-instruct,asdiv,2048,0.954029,93,8,0.086022
Qwen2.5-Math-1.5B-instruct,gsm8k,1024,0.841547,209,3,0.014354
Qwen2.5-Math-1.5B-instruct,gsm8k,2048,0.843821,206,10,0.048544
Qwen2.5-Math-1.5B-instruct,sports,1024,0.485685,503,49,0.097416
Qwen2.5-Math-1.5B-instruct,sports,2048,0.485685,503,59,0.117296
Qwen2.5-Math-7B-instruct,aqua,1024,0.755906,62,2,0.032258
Qwen2.5-Math-7B-instruct,aqua,2048,0.744094,65,0,0.000000
Qwen2.5-Math-7B-instruct,ar_lsat,1024,0.256522,171,8,0.046784
Qwen2.5-Math-7B-instruct,ar_lsat,2048,0.252174,172,4,0.023256
Qwen2.5-Math-7B-instruct,asdiv,1024,0.964904,71,6,0.084507
Qwen2.5-Math-7B-instruct,asdiv,2048,0.962926,75,3,0.040000
Qwen2.5-Math-7B-instruct,gsm8k,1024,0.944655,73,5,0.068493
Qwen2.5-Math-7B-instruct,gsm8k,2048,0.941622,77,4,0.051948
Qwen2.5-Math-7B-instruct,sports,1024,0.588957,402,5,0.012438
Qwen2.5-Math-7B-instruct,sports,2048,0.558282,432,5,0.011574
gemma-2-2b-it,aqua,1024,0.429134,145,37,0.255172
gemma-2-2b-it,aqua,2048,0.350394,165,40,0.242424
gemma-2-2b-it,ar_lsat,1024,0.217391,180,30,0.166667
gemma-2-2b-it,ar_lsat,2048,0.260870,170,33,0.194118
gemma-2-2b-it,asdiv,1024,0.803757,397,125,0.314861
gemma-2-2b-it,asdiv,2048,0.809689,385,122,0.316883
gemma-2-2b-it,gsm8k,1024,0.492798,669,149,0.222720
gemma-2-2b-it,gsm8k,2048,0.517058,637,119,0.186813
gemma-2-2b-it,sports,1024,0.835378,161,33,0.204969
gemma-2-2b-it,sports,2048,0.831288,165,43,0.260606
