model,dataset,max_tokes,initial_accuracy,n_incorrect_answer,n_corrected_answer,posthint_accuracy,correction_rate,delta_accuracy
DeepSeek-R1-0528-Qwen3-8B,aqua,1024,0.645669,90,7,0.673228,0.077778,0.027559
DeepSeek-R1-0528-Qwen3-8B,aqua,2048,0.799213,51,1,0.803150,0.019608,0.003937
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,1024,0.195652,185,16,0.265217,0.086486,0.069565
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,2048,0.343478,151,29,0.469565,0.192053,0.126087
DeepSeek-R1-0528-Qwen3-8B,asdiv,1024,0.853683,296,159,0.932279,0.537162,0.078596
DeepSeek-R1-0528-Qwen3-8B,gsm8k,1024,0.843063,207,57,0.886277,0.275362,0.043215
DeepSeek-R1-0528-Qwen3-8B,gsm8k,2048,0.876422,163,71,0.930250,0.435583,0.053829
DeepSeek-R1-0528-Qwen3-8B,sports,1024,0.860941,136,82,0.944785,0.602941,0.083845
DeepSeek-R1-0528-Qwen3-8B,sports,2048,0.874233,123,67,0.942740,0.544715,0.068507
DeepSeek-R1-Distill-Llama-8B,aqua,1024,0.759843,61,9,0.795276,0.147541,0.035433
DeepSeek-R1-Distill-Llama-8B,aqua,2048,0.803150,50,16,0.866142,0.320000,0.062992
DeepSeek-R1-Distill-Llama-8B,ar_lsat,1024,0.204348,183,5,0.226087,0.027322,0.021739
DeepSeek-R1-Distill-Llama-8B,ar_lsat,2048,0.400000,138,26,0.513043,0.188406,0.113043
DeepSeek-R1-Distill-Llama-8B,asdiv,1024,0.910529,181,108,0.963915,0.596685,0.053386
DeepSeek-R1-Distill-Llama-8B,asdiv,2048,0.915472,171,102,0.965892,0.596491,0.050420
DeepSeek-R1-Distill-Llama-8B,gsm8k,1024,0.809704,251,143,0.918120,0.569721,0.108415
DeepSeek-R1-Distill-Llama-8B,gsm8k,2048,0.815011,244,131,0.914329,0.536885,0.099318
DeepSeek-R1-Distill-Llama-8B,sports,1024,0.827198,169,30,0.857873,0.177515,0.030675
DeepSeek-R1-Distill-Llama-8B,sports,2048,0.799591,196,32,0.832311,0.163265,0.032720
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1024,0.696850,77,20,0.775591,0.259740,0.078740
DeepSeek-R1-Distill-Qwen-1.5B,aqua,2048,0.728346,69,21,0.811024,0.304348,0.082677
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,1024,0.073913,213,10,0.117391,0.046948,0.043478
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,2048,0.173913,190,19,0.256522,0.100000,0.082609
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,1024,0.931290,139,46,0.954029,0.330935,0.022739
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,2048,0.931290,139,62,0.961938,0.446043,0.030648
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,1024,0.780136,290,99,0.855193,0.341379,0.075057
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,2048,0.775588,296,88,0.842305,0.297297,0.066717
DeepSeek-R1-Distill-Qwen-1.5B,sports,1024,0.512270,477,75,0.588957,0.157233,0.076687
DeepSeek-R1-Distill-Qwen-1.5B,sports,2048,0.497955,491,77,0.576687,0.156823,0.078732
Meta-Llama-3.1-8B-Instruct,aqua,1024,0.610236,99,30,0.728346,0.303030,0.118110
Meta-Llama-3.1-8B-Instruct,aqua,2048,0.629921,94,22,0.716535,0.234043,0.086614
Meta-Llama-3.1-8B-Instruct,ar_lsat,1024,0.230435,177,33,0.373913,0.186441,0.143478
Meta-Llama-3.1-8B-Instruct,ar_lsat,2048,0.239130,175,36,0.395652,0.205714,0.156522
Meta-Llama-3.1-8B-Instruct,asdiv,1024,0.911023,180,75,0.948097,0.416667,0.037074
Meta-Llama-3.1-8B-Instruct,asdiv,2048,0.914483,173,77,0.952546,0.445087,0.038062
Meta-Llama-3.1-8B-Instruct,gsm8k,1024,0.821835,235,93,0.892343,0.395745,0.070508
Meta-Llama-3.1-8B-Instruct,gsm8k,2048,0.821835,235,118,0.911296,0.502128,0.089462
Meta-Llama-3.1-8B-Instruct,sports,1024,0.931493,67,29,0.961145,0.432836,0.029652
Meta-Llama-3.1-8B-Instruct,sports,2048,0.922290,76,37,0.960123,0.486842,0.037832
Phi-4-mini-instruct,aqua,1024,0.704724,75,22,0.791339,0.293333,0.086614
Phi-4-mini-instruct,aqua,2048,0.688976,79,0,0.688976,0.000000,0.000000
Phi-4-mini-instruct,ar_lsat,1024,0.252174,172,38,0.417391,0.220930,0.165217
Phi-4-mini-instruct,asdiv,1024,0.944142,113,53,0.970341,0.469027,0.026199
Phi-4-mini-instruct,asdiv,2048,0.948097,105,50,0.972813,0.476190,0.024716
Phi-4-mini-instruct,gsm8k,1024,0.880212,158,66,0.930250,0.417722,0.050038
Phi-4-mini-instruct,gsm8k,2048,0.890068,145,0,0.890068,0.000000,0.000000
Phi-4-mini-instruct,sports,1024,0.723926,270,56,0.781186,0.207407,0.057260
Phi-4-mini-instruct,sports,2048,0.737219,257,54,0.792434,0.210117,0.055215
Phi-4-mini-reasoning,aqua,1024,0.370079,160,0,0.370079,0.000000,0.000000
Phi-4-mini-reasoning,asdiv,1024,0.932773,136,0,0.932773,0.000000,0.000000
Phi-4-mini-reasoning,asdiv,2048,0.939199,123,0,0.939199,0.000000,0.000000
Phi-4-mini-reasoning,gsm8k,1024,0.845337,204,0,0.845337,0.000000,0.000000
Phi-4-mini-reasoning,sports,1024,0.697342,296,97,0.796524,0.327703,0.099182
