model,dataset,max_tokes,initial_accuracy,n_incorrect_answer,n_corrected_answer,posthint_accuracy,correction_rate,delta_accuracy
DeepSeek-R1-0528-Qwen3-8B,aqua,1024,0.645669,90,7,0.673228,0.077778,0.027559
DeepSeek-R1-0528-Qwen3-8B,aqua,1536,0.724409,70,2,0.732283,0.028571,0.007874
DeepSeek-R1-0528-Qwen3-8B,aqua,2048,0.799213,51,1,0.803150,0.019608,0.003937
DeepSeek-R1-0528-Qwen3-8B,aqua,256,0.263780,187,4,0.279528,0.021390,0.015748
DeepSeek-R1-0528-Qwen3-8B,aqua,512,0.496063,128,0,0.496063,0.000000,0.000000
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,1024,0.195652,185,16,0.265217,0.086486,0.069565
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,1536,0.256522,171,26,0.369565,0.152047,0.113043
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,2048,0.343478,151,29,0.469565,0.192053,0.126087
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,256,0.034783,222,5,0.056522,0.022523,0.021739
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,512,0.091304,209,9,0.130435,0.043062,0.039130
DeepSeek-R1-0528-Qwen3-8B,asdiv,1024,0.853683,296,159,0.932279,0.537162,0.078596
DeepSeek-R1-0528-Qwen3-8B,asdiv,1536,0.889768,223,137,0.957489,0.614350,0.067721
DeepSeek-R1-0528-Qwen3-8B,asdiv,256,0.676223,655,53,0.702422,0.080916,0.026199
DeepSeek-R1-0528-Qwen3-8B,asdiv,512,0.840336,323,88,0.883836,0.272446,0.043500
DeepSeek-R1-0528-Qwen3-8B,gsm8k,1024,0.843063,207,57,0.886277,0.275362,0.043215
DeepSeek-R1-0528-Qwen3-8B,gsm8k,1536,0.862775,181,73,0.918120,0.403315,0.055345
DeepSeek-R1-0528-Qwen3-8B,gsm8k,2048,0.876422,163,71,0.930250,0.435583,0.053829
DeepSeek-R1-0528-Qwen3-8B,gsm8k,256,0.614860,508,37,0.642911,0.072835,0.028052
DeepSeek-R1-0528-Qwen3-8B,gsm8k,512,0.773313,299,47,0.808946,0.157191,0.035633
DeepSeek-R1-0528-Qwen3-8B,sports,1024,0.860941,136,82,0.944785,0.602941,0.083845
DeepSeek-R1-0528-Qwen3-8B,sports,1536,0.873211,124,75,0.949898,0.604839,0.076687
DeepSeek-R1-0528-Qwen3-8B,sports,2048,0.874233,123,67,0.942740,0.544715,0.068507
DeepSeek-R1-0528-Qwen3-8B,sports,256,0.680982,312,38,0.719836,0.121795,0.038855
DeepSeek-R1-0528-Qwen3-8B,sports,512,0.868098,129,70,0.939673,0.542636,0.071575
DeepSeek-R1-Distill-Llama-8B,aqua,1024,0.759843,61,9,0.795276,0.147541,0.035433
DeepSeek-R1-Distill-Llama-8B,aqua,1536,0.799213,51,10,0.838583,0.196078,0.039370
DeepSeek-R1-Distill-Llama-8B,aqua,2048,0.803150,50,16,0.866142,0.320000,0.062992
DeepSeek-R1-Distill-Llama-8B,aqua,256,0.385827,156,3,0.397638,0.019231,0.011811
DeepSeek-R1-Distill-Llama-8B,aqua,512,0.669291,84,5,0.688976,0.059524,0.019685
DeepSeek-R1-Distill-Llama-8B,ar_lsat,1024,0.204348,183,5,0.226087,0.027322,0.021739
DeepSeek-R1-Distill-Llama-8B,ar_lsat,1536,0.313043,158,22,0.408696,0.139241,0.095652
DeepSeek-R1-Distill-Llama-8B,ar_lsat,2048,0.400000,138,26,0.513043,0.188406,0.113043
DeepSeek-R1-Distill-Llama-8B,ar_lsat,256,0.021739,225,0,0.021739,0.000000,0.000000
DeepSeek-R1-Distill-Llama-8B,ar_lsat,512,0.039130,221,1,0.043478,0.004525,0.004348
DeepSeek-R1-Distill-Llama-8B,asdiv,1024,0.910529,181,108,0.963915,0.596685,0.053386
